rank,tier,title,year,authors,venue,doi,url,cited_by_count,category,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,source,abstract,concepts
162,deep_read,Towards robust intention estimation based on object affordance enabling natural human-robot collaboration in assembly tasks,2018,Martijn Cramer; Jeroen Cramer; Karel Kellens; Eric Demeester,Procedia CIRP,10.1016/j.procir.2018.09.069,https://doi.org/10.1016/j.procir.2018.09.069,18,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,training labels encode the same affordance boundary needed at deployment,"object damage such as holes, cracks, dull edges, and blocked openings","false positive that causes spill, drop, breakage, or collision",makes generic affordance prediction and action-effect learning non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
163,deep_read,"A Framework for Robot Manipulation: Skill Formalism, Meta Learning and Adaptive Control",2019,Lars Johannsmeier; Malkin Gerchow; Sami Haddadin,2019 International Conference on Robotics and Automation (ICRA),10.1109/icra.2019.8793542,https://doi.org/10.1109/icra.2019.8793542,105,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",semantic categories can be mapped to robot-specific capabilities without recalibration,the mapping from words to object instances,task demand outside the training range,makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
164,deep_read,Robot Learning of Mobile Manipulation With Reachability Behavior Priors,2022,Snehal Jauhri; Jan Peters; Georgia Chalvatzaki,IEEE Robotics and Automation Letters,10.1109/lra.2022.3188109,https://doi.org/10.1109/lra.2022.3188109,49,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",a plan-level success score is enough to expose local physical impossibility,sensor noise and latency,planner accepts a semantically plausible but physically impossible step,makes skill-conditioned manipulation policies non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
165,deep_read,"See, feel, act: Hierarchical learning for complex manipulation skills with multisensory fusion",2019,N. Fazeli; M. Oller; J. Wu; Z. Wu; J. B. Tenenbaum; A. Rodriguez,Science Robotics,10.1126/scirobotics.aav3123,https://doi.org/10.1126/scirobotics.aav3123,104,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",a plan-level success score is enough to expose local physical impossibility,embodiment and end-effector geometry,planner accepts a semantically plausible but physically impossible step,makes skill-conditioned manipulation policies non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,A robot leverages hierarchical Bayesian representation with multisensory observations to play the game of Jenga.,
166,deep_read,Embodied Evolution in Collective Robotics: A Review,2018,Nicolas Bredeche; Evert Haasdijk; Abraham Prieto,Frontiers in Robotics and AI,10.3389/frobt.2018.00012,https://doi.org/10.3389/frobt.2018.00012,80,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",a plan-level success score is enough to expose local physical impossibility,cost of unsafe false positives,"false positive that causes spill, drop, breakage, or collision",makes broad embodied AI benchmarking or representation learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:embodied common sense robotics,,
167,deep_read,Regrasp planning for pivoting manipulation by a humanoid robot,2009,E. Yoshida; M. Poirier; J.-P. Laumond; O. Kanoun; F. Lamiraux; R. Alami; K. Yokoi,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152540,https://doi.org/10.1109/robot.2009.5152540,13,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,training labels encode the same affordance boundary needed at deployment,distribution of counterfeit or unusual objects,rare material state dominates success but is not represented in labels,makes feasibility checking inside task-and-motion planning non-novel,operational tests that define the predicate before task execution,crossref:robot physical reasoning manipulation planning,,
168,deep_read,Improving robot grasping plans with affordance,2017,Yen-Feng Su; Alan Liu; Wei-Hong Lu,2017 International Conference on Advanced Robotics and Intelligent Systems (ARIS),10.1109/aris.2017.8297172,https://doi.org/10.1109/aris.2017.8297172,4,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,object names remain correlated with their physical affordances,sensor noise and latency,planner accepts a semantically plausible but physically impossible step,makes generic affordance prediction and action-effect learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
169,deep_read,Optimizing Robot-to-Human Object Handovers using Vision-based Affordance Information,2023,Daniel Lehotsky; Albert Christensen; Dimitrios Chrysostomou,2023 IEEE International Conference on Imaging Systems and Techniques (IST),10.1109/ist59124.2023.10355704,https://doi.org/10.1109/ist59124.2023.10355704,4,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,a static dataset contains the relevant rare counterexamples,friction and contact conditions,planner accepts a semantically plausible but physically impossible step,makes generic affordance prediction and action-effect learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
170,deep_read,A Human-in-The-Loop Approach to Robot Action Replanning Through LLM Common-Sense Reasoning,2025,Elena Merlo; Marta Lagomarsino; Arash Ajoudani,IEEE Robotics and Automation Letters,10.1109/lra.2025.3604702,https://doi.org/10.1109/lra.2025.3604702,4,language-conditioned robotics,supply commonsense knowledge for embodied decision making,task-and-motion planner with feasibility models,visual appearance exposes the variables needed for safe action,friction and contact conditions,same-named object with opposite affordance,makes text-conditioned planning and language-affordance scoring non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:embodied common sense robotics,,
171,deep_read,Shared control–based bimanual robot manipulation,2019,Daniel Rakita; Bilge Mutlu; Michael Gleicher; Laura M. Hiatt,Science Robotics,10.1126/scirobotics.aaw0955,https://doi.org/10.1126/scirobotics.aaw0955,98,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,"object damage such as holes, cracks, dull edges, and blocked openings",same-named object with opposite affordance,makes skill-conditioned manipulation policies non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,A bimanual shared-control method enables novice users to control a robot in real time to complete complex manipulation tasks.,
172,deep_read,Autonomous Tissue Manipulation via Surgical Robot Using Learning Based Model Predictive Control,2019,Changyeob Shin; Peter Walker Ferguson; Sahba Aghajani Pedram; Ji Ma; Erik P. Dutson; Jacob Rosen,2019 International Conference on Robotics and Automation (ICRA),10.1109/icra.2019.8794159,https://doi.org/10.1109/icra.2019.8794159,98,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",a static dataset contains the relevant rare counterexamples,embodiment and end-effector geometry,"false positive that causes spill, drop, breakage, or collision",makes skill-conditioned manipulation policies non-novel,cost-aware selection among micro-experiments,crossref:robot affordance learning manipulation,,
173,deep_read,The learning and use of traversability affordance using range images on a mobile robot,2007,Emre Ugur; Mehmet R. Dogar; Maya Cakmak; Erol Sahin,Proceedings 2007 IEEE International Conference on Robotics and Automation,10.1109/robot.2007.363571,https://doi.org/10.1109/robot.2007.363571,35,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,a plan-level success score is enough to expose local physical impossibility,sensor noise and latency,task demand outside the training range,makes generic affordance prediction and action-effect learning non-novel,cost-aware selection among micro-experiments,crossref:robot affordance learning manipulation,,
174,deep_read,Skill learning framework for human–robot interaction and manipulation tasks,2023,Gbenga Abiodun Odesanmi; Qining Wang; Jingeng Mai,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2022.102444,https://doi.org/10.1016/j.rcim.2022.102444,35,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",a plan-level success score is enough to expose local physical impossibility,"object damage such as holes, cracks, dull edges, and blocked openings",sensor probe is noisy or unavailable,makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
175,deep_read,Generalized Affordance Templates for Mobile Manipulation,2022,Stephen Hart; Ana Huaman Quispe; Michael W. Lanighan; Seth Gee,2022 International Conference on Robotics and Automation (ICRA),10.1109/icra46639.2022.9812082,https://doi.org/10.1109/icra46639.2022.9812082,9,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,training labels encode the same affordance boundary needed at deployment,cost of unsafe false positives,diagnostic action changes the object state or consumes scarce resources,makes generic affordance prediction and action-effect learning non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
176,deep_read,A Versatile Affordance Modeling Framework Using Screw Primitives to Increase Autonomy During Manipulation Contact Tasks,2022,Adam Pettinger; Farshid Alambeigi; Mitch Pryor,IEEE Robotics and Automation Letters,10.1109/lra.2022.3181732,https://doi.org/10.1109/lra.2022.3181732,8,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,failure costs are low enough to learn from direct task execution,"object damage such as holes, cracks, dull edges, and blocked openings",planner accepts a semantically plausible but physically impossible step,makes generic affordance prediction and action-effect learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
177,deep_read,Autonomous Object Detection and Grasping Using Deep Learning for Design of an Intelligent Assistive Robot Manipulation System,2019,Sanzhar Rakhimkul; Anton Kim; Askarbek Pazylbekov; Almas Shintemirov,"2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)",10.1109/smc.2019.8914465,https://doi.org/10.1109/smc.2019.8914465,18,manipulation skill learning,make robot manipulation robust to object and scene variation,grasp-quality model trained from trials,failure costs are low enough to learn from direct task execution,sensor noise and latency,task demand outside the training range,makes skill-conditioned manipulation policies non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
178,deep_read,Transformer-based deep imitation learning for dual-arm robot manipulation,2021,Heecheol Kim; Yoshiyuki Ohmura; Yasuo Kuniyoshi,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros51168.2021.9636301,https://doi.org/10.1109/iros51168.2021.9636301,50,manipulation skill learning,make robot manipulation robust to object and scene variation,large transformer policy or multimodal representation,a static dataset contains the relevant rare counterexamples,embodiment and end-effector geometry,rare material state dominates success but is not represented in labels,makes skill-conditioned manipulation policies non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
179,deep_read,Graspability: A description of work surfaces for planning of robot manipulation sequences,2011,Steffen W. Ruehl; Andreas Hermann; Zhixing Xue; Thilo Kerscher; Ruediger Dillmann,2011 IEEE International Conference on Robotics and Automation,10.1109/icra.2011.5979779,https://doi.org/10.1109/icra.2011.5979779,10,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,the robot does not need to spend action budget on diagnostic tests,cost of unsafe false positives,novel object whose visible geometry is misleading,makes feasibility checking inside task-and-motion planning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot physical reasoning manipulation planning,,
180,deep_read,Task-Space Decomposed Motion Planning Framework for Multi-Robot Loco-Manipulation,2021,Xiaoyu Zhang; Lei Yan; Tin Lun Lam; Sethu Vijayakumar,2021 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48506.2021.9560902,https://doi.org/10.1109/icra48506.2021.9560902,10,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,semantic categories can be mapped to robot-specific capabilities without recalibration,"object damage such as holes, cracks, dull edges, and blocked openings",sensor probe is noisy or unavailable,makes feasibility checking inside task-and-motion planning non-novel,auditable failure certificates for rejected actions,crossref:robot physical reasoning manipulation planning,,
181,deep_read,Learning robot tactile sensing for object manipulation,2014,Yevgen Chebotar; Oliver Kroemer; Jan Peters,2014 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2014.6943031,https://doi.org/10.1109/iros.2014.6943031,48,manipulation skill learning,make robot manipulation robust to object and scene variation,interactive contact probe and sensor classifier,training labels encode the same affordance boundary needed at deployment,cost of unsafe false positives,sensor probe is noisy or unavailable,makes skill-conditioned manipulation policies non-novel,cost-aware selection among micro-experiments,crossref:robot affordance learning manipulation,,
182,deep_read,GarmentPile: Point-Level Visual Affordance Guided Retrieval and Adaptation for Cluttered Garments Manipulation,2025,Ruihai Wu; Ziyu Zhu; Yuran Wang; Yue Chen; Jiarui Wang; Hao Dong,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52734.2025.00652,https://doi.org/10.1109/cvpr52734.2025.00652,3,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,the set of available diagnostic actions,diagnostic action changes the object state or consumes scarce resources,makes generic affordance prediction and action-effect learning non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
183,deep_read,Planning Human-Robot Co-Manipulation With Human Motor Control Objectives and Multi-Component Reaching Strategies,2025,Kevin Haninger; Luka Peternel,IEEE Robotics and Automation Letters,10.1109/lra.2024.3522760,https://doi.org/10.1109/lra.2024.3522760,3,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,visual appearance exposes the variables needed for safe action,embodiment and end-effector geometry,"false positive that causes spill, drop, breakage, or collision",makes feasibility checking inside task-and-motion planning non-novel,operational tests that define the predicate before task execution,crossref:robot physical reasoning manipulation planning,,
184,deep_read,"Perceiving, learning, and exploiting object affordances for autonomous pile manipulation",2014,Dov Katz; Arun Venkatraman; Moslem Kazemi; J. Andrew Bagnell; Anthony Stentz,Autonomous Robots,10.1007/s10514-014-9407-y,https://doi.org/10.1007/s10514-014-9407-y,47,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,semantic categories can be mapped to robot-specific capabilities without recalibration,distribution of counterfeit or unusual objects,same-named object with opposite affordance,makes generic affordance prediction and action-effect learning non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
185,deep_read,Homotopic Path Set Planning for Robot Manipulation and Navigation,2024,Jing Huang,Robotics: Science and Systems XX,10.15607/rss.2024.xx.039,https://doi.org/10.15607/rss.2024.xx.039,4,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,semantic categories can be mapped to robot-specific capabilities without recalibration,"load, volume, temperature, and other task demands",diagnostic action changes the object state or consumes scarce resources,makes feasibility checking inside task-and-motion planning non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
186,deep_read,Automatic Error Correction of GPT-Based Robot Motion Generation by Partial Affordance of Tool,2024,Takahiro Suzuki; Yuta Ando; Manabu Hashimoto,"Proceedings of the 19th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",10.5220/0012375000003660,https://doi.org/10.5220/0012375000003660,2,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,a static dataset contains the relevant rare counterexamples,material parameters,task demand outside the training range,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
187,deep_read,LOTUS: Continual Imitation Learning for Robot Manipulation Through Unsupervised Skill Discovery,2024,Weikang Wan; Yifeng Zhu; Rutav Shah; Yuke Zhu,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10611129,https://doi.org/10.1109/icra57147.2024.10611129,21,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",a static dataset contains the relevant rare counterexamples,friction and contact conditions,sensor probe is noisy or unavailable,makes skill-conditioned manipulation policies non-novel,cost-aware selection among micro-experiments,crossref:robot affordance learning manipulation,,
188,deep_read,Describing Physics <i>For</i> Physical Reasoning: Force-Based Sequential Manipulation Planning,2020,Marc Toussaint; Jung-Su Ha; Danny Driess,IEEE Robotics and Automation Letters,10.1109/lra.2020.3010462,https://doi.org/10.1109/lra.2020.3010462,33,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,a static dataset contains the relevant rare counterexamples,"load, volume, temperature, and other task demands",novel object whose visible geometry is misleading,makes feasibility checking inside task-and-motion planning non-novel,cost-aware selection among micro-experiments,crossref:robot physical reasoning manipulation planning,,
189,deep_read,On the Role of the Action Space in Robot Manipulation Learning and Sim-to-Real Transfer,2024,Elie Aljalbout; Felix Frank; Maximilian Karl; Patrick van der Smagt,IEEE Robotics and Automation Letters,10.1109/lra.2024.3398428,https://doi.org/10.1109/lra.2024.3398428,19,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,"load, volume, temperature, and other task demands","false positive that causes spill, drop, breakage, or collision",makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
190,deep_read,Planning robot manipulation to clean planar surfaces,2015,David Martínez; Guillem Alenyà; Carme Torras,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2014.11.004,https://doi.org/10.1016/j.engappai.2014.11.004,41,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,a plan-level success score is enough to expose local physical impossibility,friction and contact conditions,diagnostic action changes the object state or consumes scarce resources,makes feasibility checking inside task-and-motion planning non-novel,cost-aware selection among micro-experiments,crossref:robot physical reasoning manipulation planning,,
191,deep_read,Combining Navigation and Manipulation Costs for Time-Efficient Robot Placement in Mobile Manipulation Tasks,2022,Fabian Reister; Markus Grotz; Tamim Asfour,IEEE Robotics and Automation Letters,10.1109/lra.2022.3191215,https://doi.org/10.1109/lra.2022.3191215,31,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,material parameters,planner accepts a semantically plausible but physically impossible step,makes skill-conditioned manipulation policies non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
192,deep_read,SLOT-V: Supervised Learning of Observer Models for Legible Robot Motion Planning in Manipulation,2022,Sebastian Wallkotter; Mohamed Chetouani; Ginevra Castellano,2022 31st IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),10.1109/ro-man53752.2022.9900568,https://doi.org/10.1109/ro-man53752.2022.9900568,6,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,semantic categories can be mapped to robot-specific capabilities without recalibration,cost of unsafe false positives,rare material state dominates success but is not represented in labels,makes feasibility checking inside task-and-motion planning non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
193,deep_read,Adaptive Affordance Design for Social Robots: Tailoring to Role-Specific Preferences,2025,Guanyu Huang; Roger K. Moore,2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri61500.2025.10974246,https://doi.org/10.1109/hri61500.2025.10974246,1,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,a static dataset contains the relevant rare counterexamples,embodiment and end-effector geometry,planner accepts a semantically plausible but physically impossible step,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
194,deep_read,A Closed-Chain Approach to Generating Affordance Joint Trajectories for Robotic Manipulators,2025,Janak Panthi; Farshid Alambeigi; Mitch Pryor,IEEE Transactions on Robotics,10.1109/tro.2025.3582832,https://doi.org/10.1109/tro.2025.3582832,1,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,embodiment and end-effector geometry,task demand outside the training range,makes generic affordance prediction and action-effect learning non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
195,deep_read,A Human–Robot Collaboration Method Using a Pose Estimation Network for Robot Learning of Assembly Manipulation Trajectories From Demonstration Videos,2023,Xinjian Deng; Jianhua Liu; Honghui Gong; Hao Gong; Jiayu Huang,IEEE Transactions on Industrial Informatics,10.1109/tii.2022.3224966,https://doi.org/10.1109/tii.2022.3224966,23,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,the mapping from words to object instances,diagnostic action changes the object state or consumes scarce resources,makes skill-conditioned manipulation policies non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
196,deep_read,A combined approach for robot placement and coverage path planning for mobile manipulation,2017,Fabian Paus; Peter Kaiser; Nikolaus Vahrenkamp; Tamim Asfour,2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros.2017.8206531,https://doi.org/10.1109/iros.2017.8206531,23,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,the environment will not include adversarially relabeled or modified artifacts,cost of unsafe false positives,rare material state dominates success but is not represented in labels,makes feasibility checking inside task-and-motion planning non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot physical reasoning manipulation planning,,
197,deep_read,GadgetArm—Automatic Grasp Generation and Manipulation of 4-DOF Robot Arm for Arbitrary Objects Through Reinforcement Learning,2020,JoungMin Park; SangYoon Lee; JaeWoon Lee; Jumyung Um,Sensors,10.3390/s20216183,https://doi.org/10.3390/s20216183,10,manipulation skill learning,make robot manipulation robust to object and scene variation,grasp-quality model trained from trials,object names remain correlated with their physical affordances,the mapping from words to object instances,planner accepts a semantically plausible but physically impossible step,makes skill-conditioned manipulation policies non-novel,cost-aware selection among micro-experiments,crossref:robot affordance learning manipulation,"Automatic robot gripper system which involves the automated object recognition of work-in-process in production line is the key technology of the upcoming manufacturing facility achieving Industry 4.0. Automatic robot gripper enables the manufacturing system to be autonomous, self-recognized, and adaptable by using artificial intelligence of robot programming dealing with arbitrary shapes of work-in-processes. This paper specifically explores the chain of key technologies, such as 3D object recognition with CAD and point cloud data, reinforcement learning of robot arm, and customized 3D printed gripper, in order to enhance the intelligence of the robot controller system. And it also proposes the integration with 3D point cloud based object recognition and game-engine based reinforcement learning. The result of the prototype of the intelligent robot gripping system developed by the proposed method with a 4 degree-of-freedom robot arm is explained in this paper.",
198,deep_read,A 1200×1200 8-Edges/Vertex FPGA-Based Motion-Planning Accelerator for Dual-Arm-Robot Manipulation Systems,2020,Atsutake Kosuge; Takashi Oshima,2020 IEEE Symposium on VLSI Circuits,10.1109/vlsicircuits18222.2020.9162951,https://doi.org/10.1109/vlsicircuits18222.2020.9162951,10,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,a static dataset contains the relevant rare counterexamples,"load, volume, temperature, and other task demands",task demand outside the training range,makes feasibility checking inside task-and-motion planning non-novel,auditable failure certificates for rejected actions,crossref:robot physical reasoning manipulation planning,,
199,deep_read,Learning Keypoints for Robotic Cloth Manipulation Using Synthetic Data,2024,Thomas Lips; Victor-Louis De Gusseme; Francis Wyffels,IEEE Robotics and Automation Letters,10.1109/lra.2024.3405335,https://doi.org/10.1109/lra.2024.3405335,17,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making","skill preconditions are stable across materials, wear, and hidden state",cost of unsafe false positives,"false positive that causes spill, drop, breakage, or collision",makes skill-conditioned manipulation policies non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
200,deep_read,Autoregressive Action Sequence Learning for Robotic Manipulation,2025,Xinyu Zhang; Yuhan Liu; Haonan Chang; Liam Schramm; Abdeslam Boularias,IEEE Robotics and Automation Letters,10.1109/lra.2025.3550849,https://doi.org/10.1109/lra.2025.3550849,13,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,sensor noise and latency,"false positive that causes spill, drop, breakage, or collision",makes skill-conditioned manipulation policies non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
201,deep_read,A Humanoid Robot Platform for Efficient Gaze Interaction and Physical Manipulation,2024,Oskar Palinko,Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,10.1145/3610978.3641091,https://doi.org/10.1145/3610978.3641091,3,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",the robot does not need to spend action budget on diagnostic tests,the mapping from words to object instances,same-named object with opposite affordance,makes skill-conditioned manipulation policies non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
202,deep_read,"Manipulation for self-Identification, and self-Identification for better manipulation",2021,Kaiyu Hang; Walter G. Bircher; Andrew S. Morgan; Aaron M. Dollar,Science Robotics,10.1126/scirobotics.abe1321,https://doi.org/10.1126/scirobotics.abe1321,36,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",visual appearance exposes the variables needed for safe action,friction and contact conditions,same-named object with opposite affordance,makes skill-conditioned manipulation policies non-novel,cost-aware selection among micro-experiments,crossref:robot affordance learning manipulation,Self-identification enables robotic manipulation systems to interactively acquire model parameters with limited sensing.,
203,deep_read,Planning of Knotting Based on Manipulation Skills with Consideration of Robot Mechanism/Motion and Its Realization by a Robot Hand System,2017,Yuji Yamakawa; Akio Namiki; Masatoshi Ishikawa; Makoto Shimojo,Symmetry,10.3390/sym9090194,https://doi.org/10.3390/sym9090194,4,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,the robot does not need to spend action budget on diagnostic tests,"load, volume, temperature, and other task demands",same-named object with opposite affordance,makes feasibility checking inside task-and-motion planning non-novel,auditable failure certificates for rejected actions,crossref:robot physical reasoning manipulation planning,"This paper demonstrates the relationship between the production process of a knot and manipulation skills. First, we define the description (rope intersections, grasp type and fixation positions) of a knot. Second, we clarify the characteristics of the manipulation skills from the viewpoint of the knot description. Next, in order to obtain the production process of the knot, we propose an analysis method based on the structure of the knot and the characteristics of the manipulation skills. Using the proposed analysis method, we analyzed eight kinds of knots, formed with a single rope, two ropes or a single rope and an object. Finally, in order to validate the production process obtained by the proposed analysis method, we show experimental results of an overhand knot and a half hitch produced by using a robot hand system.",
204,deep_read,LeAffordNav: Enhancing Open-vocabulary Mobile Manipulation with LLM-guided Exploration and Affordance-aware Navigation,2025,Yuanwen Chen; Haoran Li; Yaran Chen; Dongbin Zhao,2025 IEEE International Conference on Multimedia and Expo (ICME),10.1109/icme59968.2025.11208899,https://doi.org/10.1109/icme59968.2025.11208899,2,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the environment will not include adversarially relabeled or modified artifacts,friction and contact conditions,sensor probe is noisy or unavailable,makes generic affordance prediction and action-effect learning non-novel,explicit treatment of hidden physical variables as part of common sense,crossref:robot affordance learning manipulation,,
205,deep_read,Communicating Physical Properties Through Robot Object Manipulation,2025,Xiang Pan; Malcolm Doering; Stela Hanbyeol Seo; Takayuki Kanda,2025 20th ACM/IEEE International Conference on Human-Robot Interaction (HRI),10.1109/hri61500.2025.10973989,https://doi.org/10.1109/hri61500.2025.10973989,2,manipulation skill learning,make robot manipulation robust to object and scene variation,"learned representation, dataset, or planner for embodied decision making",failure costs are low enough to learn from direct task execution,distribution of counterfeit or unusual objects,rare material state dominates success but is not represented in labels,makes skill-conditioned manipulation policies non-novel,operational tests that define the predicate before task execution,crossref:robot physical reasoning manipulation planning,,
206,deep_read,Trajectory Planning and Control for Robotic Manipulation of Magnetic Capsules,2025,Ogulcan Isitman; Gokhan Alcan; Ville Kyrki,IEEE Robotics and Automation Letters,10.1109/lra.2025.3554432,https://doi.org/10.1109/lra.2025.3554432,2,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,object names remain correlated with their physical affordances,distribution of counterfeit or unusual objects,novel object whose visible geometry is misleading,makes feasibility checking inside task-and-motion planning non-novel,operational tests that define the predicate before task execution,crossref:robot physical reasoning manipulation planning,,
